Rank,Player,Team,RAA,Wins,EFscore,Salary,Value
18,EJG Morgan,Kolkata Knight Riders,134,0.45399999999999996,0.126,"$750,000","$1,245,881"
19,Shubman Gill,Kolkata Knight Riders,128,0.43200000000000005,0.109,"$281,250","$1,213,885"
24,CV Varun,Kolkata Knight Riders,109,0.368,0.135,"$1,200,000","$1,120,804"
35,LH Ferguson,Kolkata Knight Riders,70,0.237,0.073,"$228,600","$930,280"
54,Shivam Mavi,Kolkata Knight Riders,3,0.009000000000000001,0.062,"$468,750","$598,681"
72,RK Singh,Kolkata Knight Riders,-17,-0.059000000000000004,0.002,"$125,000","$499,783"
79,CJ Green,Kolkata Knight Riders,-24,-0.081,0.001,"$28,600","$467,787"
83,NS Naik,Kolkata Knight Riders,-27,-0.092,0.0,"$28,600","$451,788"
84,S Sandeep Warrier,Kolkata Knight Riders,-31,-0.105,0.002,"$16,000","$432,882"
91,N Rana,Kolkata Knight Riders,-39,-0.131,0.076,"$531,250","$395,068"
93,T Banton,Kolkata Knight Riders,-39,-0.131,0.001,"$142,900","$395,068"
104,M Prasidh Krishna,Kolkata Knight Riders,-45,-0.15,0.021,"$15,620","$367,434"
106,Kuldeep Yadav,Kolkata Knight Riders,-48,-0.161,0.012,"$906,250","$351,436"
110,RA Tripathi,Kolkata Knight Riders,-54,-0.18100000000000002,0.05,"$85,700","$322,348"
126,PJ Cummins,Kolkata Knight Riders,-105,-0.355,0.13699999999999998,"$2,214,300","$69,286"
139,AD Russell,Kolkata Knight Riders,-136,-0.46,0.063,"$1,328,130","$-83,424"
142,KD Karthik,Kolkata Knight Riders,-143,-0.483,0.033,"$1,156,250","$-116,875"
144,KL Nagarkoti,Kolkata Knight Riders,-148,-0.501,0.033,"$500,000","$-143,054"
150,SP Narine,Kolkata Knight Riders,-292,-0.988,0.051,"$1,953,130","$-851,338"
